"id","diagnosis","is_final","assessment_id","diagnosis_state","date_added"
DI9444,Gastritis,false,AS2736,T,2024-01-15 10:21:11.417 -0600
DI9588,nil,false,AS2649,T,2024-03-19 07:54:53.381 -0500
DI8522,helminthosis,false,AS6403,T,2024-03-19 08:00:50.999 -0500
DI1893,discharge,false,AS7833,F,2024-01-16 03:38:14.260 -0600
DI1412,fever,false,AS6485,K,2024-01-20 09:30:37.669 -0600
DI0876,Mange,false,AS8877,K,2024-01-23 06:11:44.563 -0600
DI7032,Routine checkup,false,AS0401,F,2024-01-23 06:46:54.125 -0600
DI3618,ehrlichiosis,false,AS2152,D,2024-01-24 01:44:56.215 -0600
DI2059,"gastritis,ehrlichiosis,babesiosis.",false,AS8586,K,2024-01-24 02:58:12.721 -0600
DI2628,internal hemorrhage,false,AS9182,K,2024-01-25 03:55:41.543 -0600
DI4371,Acetaminophen toxicosis,false,AS9182,D,2024-01-25 03:55:41.545 -0600
DI6189,follow up,false,AS4183,F,2024-01-25 06:32:20.804 -0600
DI6109,Atopic dermatitis ,false,AS4528,D,2024-01-25 11:11:13.872 -0600
DI7910,nil,false,AS6150,F,2024-01-25 11:15:22.241 -0600
DI9884,helminthosis,false,AS0690,K,2024-01-27 07:19:01.551 -0600
DI1333,ehrlichiosis/babesiosis,false,AS0690,D,2024-01-27 07:19:01.554 -0600
DI5922,malnutrition,false,AS9852,K,2024-01-27 08:24:21.363 -0600
DI8539,traumatic eye injury,false,AS9036,K,2024-01-27 08:32:32.995 -0600
DI8253,corneal opacity,false,AS9036,D,2024-01-27 08:32:32.998 -0600
DI8557,acute fever,false,AS3903,D,2024-01-23 07:31:51.586 -0600
DI0756,inflammatory bowel disease,false,AS1654,T,2024-01-30 09:43:25.065 -0600
DI7182,parvo virus,false,AS8447,F,2024-01-30 10:22:43.034 -0600
DI9923,Gastritis,false,AS8894,F,2024-02-01 04:43:43.830 -0600
DI8343,Ehrlichiosis,false,AS8894,F,2024-02-01 04:43:43.828 -0600
DI6810,Babesiosis,false,AS8894,F,2024-02-01 04:43:43.825 -0600
DI8769,liver dysfunction,false,AS8894,D,2024-02-01 04:44:15.786 -0600
DI4940,nil,false,AS1921,F,2024-02-01 06:03:49.798 -0600
DI7184,gastritis,false,AS3577,D,2024-02-07 09:52:20.423 -0600
DI6549,vaccination,false,AS3043,F,2024-03-20 03:19:24.471 -0500
DI4988,traumatic injury,false,AS0533,F,2024-02-12 07:13:34.513 -0600
DI0386,oral bacterial/viral infection,false,AS4298,K,2024-02-12 11:34:05.307 -0600
DI9066,demodectic mange,false,AS4298,K,2024-02-12 11:34:05.309 -0600
DI4068,cutaneous myiasis,false,AS5629,F,2024-02-13 07:17:47.873 -0600
DI3421,nil,false,AS4060,F,2024-02-13 16:37:54.459 -0600
DI3362,"EHRLICHIOSIS,BABESIOSIS",false,AS0670,K,2024-02-14 05:47:28.339 -0600
DI6466,auricular irritation,false,AS8037,K,2024-02-14 06:03:04.111 -0600
DI1598,Patient tested positive for the Parvo virus.,false,AS8005,F,2024-02-16 04:31:25.680 -0600
DI7924,nil,false,AS3500,F,2024-02-16 05:17:04.422 -0600
DI0121,nil,false,AS2548,F,2024-02-16 05:21:16.527 -0600
DI3819,vaccination,false,AS6357,F,2024-02-17 05:36:48.358 -0600
DI7889,deworming,false,AS6357,F,2024-02-17 05:36:48.361 -0600
DI6907,vaccination,false,AS6601,F,2024-03-20 03:36:44.244 -0500
DI0471,"",false,AS3208,F,2024-02-21 02:27:58.196 -0600
DI8423,vaccination,false,AS8270,F,2024-03-20 05:32:50.535 -0500
DI9134,vaccination,false,AS0774,F,2024-03-20 05:34:51.060 -0500
DI8554,orchitis,false,AS6445,K,2024-02-28 07:08:31.611 -0600
DI1242,helminthosis,false,AS5094,F,2024-03-06 04:36:04.122 -0600
DI6759,vaccination ,false,AS2060,F,2024-03-05 03:41:27.164 -0600
DI5680,vaccination ,false,AS7920,F,2024-03-06 04:44:09.800 -0600
DI1005,vaccination ,false,AS1485,F,2024-03-06 04:54:25.808 -0600
DI3451,Gastritis,false,AS2380,T,2024-02-21 06:26:34.475 -0600
DI9940,helminthosis,false,AS7807,F,2024-03-06 07:22:49.165 -0600
DI5583,nil,false,AS0575,F,2024-03-06 07:24:40.857 -0600
DI8314,nil,false,AS9325,F,2024-03-06 07:26:32.268 -0600
DI2028,nil,false,AS2496,F,2024-03-06 07:32:37.076 -0600
DI0686,nil,false,AS8690,F,2024-02-14 07:22:31.455 -0600
DI3436,nil,false,AS8342,F,2024-03-06 07:42:13.609 -0600
DI7011,nil,false,AS8528,F,2024-03-06 07:47:03.281 -0600
DI9219,nil,false,AS3527,F,2024-03-07 02:06:33.330 -0600
DI8836,nil,false,AS0261,T,2024-03-07 02:19:44.154 -0600
DI1718,helminthosis,false,AS5618,T,2024-03-07 02:30:41.986 -0600
DI2424,insect bite allergy,false,AS9900,F,2024-03-11 03:18:17.184 -0500
DI0060,Tick fever,false,AS7835,T,2024-03-11 05:53:09.953 -0500
DI8369,helminthosis,false,AS3009,F,2024-03-12 05:25:51.299 -0500
DI5568,motion sickness suspected,false,AS3949,D,2024-03-12 05:37:21.764 -0500
DI7180,helminthosis,false,AS3949,K,2024-03-12 05:37:21.766 -0500
DI8513,helminthosis,false,AS5353,K,2024-03-12 05:43:22.492 -0500
DI4410,Tick fever,false,AS6573,K,2024-03-12 05:48:42.424 -0500
DI2830,Babesiosis and Ehrlichiosis,false,AS5976,F,2024-03-12 07:50:26.090 -0500
DI5542,vaccination,false,AS0454,F,2024-03-20 06:45:23.112 -0500
DI1959,seborrheic dematitis,false,AS2940,K,2024-03-12 07:57:24.884 -0500
DI9921,helminthosis,false,AS1416,F,2024-03-20 06:56:55.119 -0500
DI3314,dhlpp vaccination and deworming,false,AS2382,F,2024-03-14 07:08:23.101 -0500
DI8075, Fit for vaccination,false,AS9538,T,2024-03-22 10:40:39.603 -0500
DI6977, Fit for vaccination,false,AS7287,F,2024-03-24 09:02:53.199 -0500
DI4788,nil,false,AS2401,F,2024-03-24 09:11:18.901 -0500
DI8941,canine ehrlichiosis,false,AS9993,T,2024-03-24 09:20:30.712 -0500
DI7018,vaccination,false,AS3519,F,2024-03-25 03:44:32.877 -0500
DI9105,vaccination,false,AS2870,F,2024-03-25 05:01:42.859 -0500
DI9439,helminthosis,false,AS1354,F,2024-03-25 05:06:58.038 -0500
DI6471,nil,false,AS4237,F,2024-03-25 06:11:21.940 -0500
DI4552,vaccination,false,AS1496,F,2024-03-26 04:20:17.753 -0500
DI9480,vaccination,false,AS9952,T,2024-03-27 03:13:33.876 -0500
DI3111,vaccination,false,AS2637,F,2024-03-27 05:23:52.214 -0500
DI2157,helminthosis,false,AS4462,K,2024-02-05 10:36:06.474 -0600
DI7847,cpv,false,AS4462,D,2024-02-05 10:36:06.471 -0600
DI0785, Fit for vaccination,false,AS0459,F,2024-04-11 10:26:27.674 -0500
DI5596,pet was pregnant,false,AS8409,K,2024-04-11 10:37:57.322 -0500
DI2273,Follow-up,false,AS8221,F,2024-04-12 09:00:03.150 -0500
DI6981,vaccination,false,AS3237,F,2024-04-15 05:24:22.372 -0500
DI7134,vaccination,false,AS9417,F,2024-04-15 05:54:33.896 -0500
DI3142,nil,false,AS0836,T,2024-04-15 05:59:26.627 -0500
DI7848,cutaneous myiasis,false,AS5122,D,2024-04-11 06:01:43.501 -0500
DI6119,post surgical septicemia,false,AS5122,K,2024-04-11 06:01:43.499 -0500
DI3610,vaccination,false,AS4823,T,2024-04-17 04:56:55.557 -0500
DI1995,vaccination,false,AS6477,T,2024-04-16 06:52:17.173 -0500
DI7542,nil,false,AS7625,F,2024-04-17 05:49:26.026 -0500
DI6190,vaccination,false,AS4580,F,2024-04-18 03:05:43.649 -0500
DI5477,vaccination,false,AS3642,F,2024-04-22 08:31:28.392 -0500
DI9978,vaccination,false,AS8691,F,2024-04-22 06:09:44.154 -0500
DI4012,suspected bone choke,false,AS4301,K,2024-04-22 08:39:32.261 -0500
DI0830,esophagitis,false,AS4301,D,2024-04-22 08:39:32.264 -0500
